fips,county,cents_per_kwh_2019,cents_per_kwh_2024,percent_change,utilities
48001,Anderson,11.22,12.08,7.7,2
48003,Andrews,10.21,13.16,28.8,2
48005,Angelina,11.75,13.2,12.4,3
48007,Aransas,12.54,13.99,11.6,1
48009,Archer,9.14,12.65,38.5,1
48011,Armstrong,10.29,13.4,30.3,2
48013,Atascosa,10.69,12.37,15.7,3
48015,Austin,11.17,12.06,8.0,3
48017,Bailey,10.23,13.25,29.6,3
48019,Bandera,10.72,12.43,16.0,2
48021,Bastrop,10.82,11.52,6.4,2
48023,Baylor,9.07,12.65,39.4,1
48025,Bee,10.53,11.4,8.2,2
48027,Bell,10.31,12.36,19.9,3
48029,Bexar,10.56,12.34,16.8,5
48031,Blanco,10.44,12.12,16.1,2
48033,Borden,10.26,13.17,28.4,3
48035,Bosque,9.12,12.92,41.7,2
48037,Bowie,10.41,12.13,16.5,3
48039,Brazoria,10.9,13.42,23.1,1
48041,Brazos,10.36,13.58,31.1,6
48043,Brewster,16.49,18.51,12.2,1
48045,Briscoe,10.27,13.37,30.2,2
48047,Brooks,9.93,10.56,6.4,3
48049,Brown,11.7,15.52,32.6,1
48051,Burleson,10.15,13.12,29.2,4
48053,Burnet,10.37,12.22,17.9,1
48055,Caldwell,10.35,12.11,16.9,3
48057,Calhoun,10.76,12.58,16.9,2
48059,Callahan,13.23,15.42,16.5,2
48061,Cameron,9.62,10.82,12.5,2
48063,Camp,10.37,12.22,17.8,3
48065,Carson,10.23,13.35,30.5,1
48067,Cass,10.39,12.18,17.2,4
48069,Castro,10.2,13.16,29.1,4
48071,Chambers,10.05,13.66,36.0,1
48073,Cherokee,11.24,15.65,39.2,2
48075,Childress,10.13,11.67,15.2,4
48077,Clay,10.4,15.56,49.6,1
48079,Cochran,10.21,13.21,29.4,4
48081,Coke,13.55,14.41,6.3,2
48083,Coleman,13.7,15.37,12.2,1
48085,Collin,10.96,13.87,26.6,4
48087,Collingsworth,10.3,12.14,17.9,3
48089,Colorado,11.18,12.1,8.2,4
48091,Comal,10.5,12.4,18.1,4
48093,Comanche,9.53,13.24,39.0,3
48095,Concho,12.43,12.91,3.8,2
48097,Cooke,10.76,14.41,34.0,4
48099,Coryell,9.34,13.01,39.3,3
